genres,keywords,original_language,original_title,korean_title,kr_rating,popularity,production_countries,release_date,spoken_languages,vote_average,vote_count
"['Crime', 'Drama', 'Mystery']","['adultery', 'jealousy', 'rape', 'based on novel or book', 'court case', 'michigan', 'judge', 'hays code', 'jazz', 'jurors', 'trial', 'lawyer', 'courtroom', 'murder trial', 'courtroom drama']",en,Anatomy of a Murder,살인자의 해부,,19.997,['United States of America'],1959-01-07,['English'],7.835,922
"['Action', 'Comedy', 'Crime']","['police', 'arms smuggling', 'intensive care', 'undercover', 'detective', 'investigation', 'armored car', 'strip club', 'sequel', 'shootout', 'gunfight', 'los angeles, california', 'detroit, michigan', 'horse track', 'beverly hills', 'buddy cop', 'credit card fraud', 'playboy mansion', 'shooting range', 'robbery gang', 'superdetective', 'ferrari']",en,Beverly Hills Cop II,비버리 힐스 캅 2,15,38.0,['United States of America'],1987-05-18,['English'],6.482,2317
"['Action', 'Drama', 'Adventure']","['epic', 'gladiator', 'rome, italy', 'arena', 'senate', 'roman empire', 'parent child relationship', 'emperor', 'slavery', 'ancient rome', 'revenge', 'battlefield', 'slave auction', 'historical fiction', 'ancient world', 'combat', 'chariot', 'philosopher', 'barbarian horde', '2nd century', 'successor', 'commodus', 'maximus']",en,Gladiator,글래디에이터,15,69.368,"['United Kingdom', 'United States of America']",2000-05-04,['English'],8.216,17898
"['Comedy', 'Drama']","['drug abuse', 'barcelona, spain', 'transvestism', 'transplantation', 'madrid, spain', 'transsexuality', 'birthday', 'autograph', 'friends', 'lgbt', 'melodrama', 'goya award for best film']",es,Todo sobre mi madre,내 어머니의 모든 것,18,21.701,"['Spain', 'France']",1999-04-16,"['Català', 'Español']",7.651,1823
"['Horror', 'Thriller', 'Action', 'Drama']","['end of the world', 'language', 'zombie', 'patient', 'global', 'hunt', 'pandemic', 'infected']",en,Patient Zero,페이션트 제로,,25.742,"['United Kingdom', 'United States of America']",2018-09-14,['English'],5.2,339
"['Crime', 'Drama', 'Action']","['hotel room', 'new york city', 'immigrant', 'assassin', 'police brutality', 'corruption', 's.w.a.t.', 'hitman', 'loss of loved one', 'training', 'revenge', 'murder', 'loneliness', 'neighbor', 'tragic love', 'city life', 'neo-noir', 'complex relationship']",en,Léon: The Professional,레옹,18,74.917,"['United States of America', 'France']",1994-09-14,"['English', 'Français', 'Italiano']",8.309,14361
"['Adventure', 'Comedy', 'Science Fiction']","['flying car', 'race against time', 'clock tower', 'car race', 'lightning', 'guitar', 'plutonium', 'inventor', 'journey in the past', 'invention', 'time travel', 'bullying', 'mad scientist', 'fish out of water', 'terrorism', 'teenage love', 'destiny', 'hidden identity', 'love and romance', 'teenage life', 'changing the past or future', '1950s', 'tiempo', 'amor', 'cientifico loco', '2015']",en,Back to the Future,빽 투 더 퓨쳐,12,100.723,['United States of America'],1985-07-03,['English'],8.318,19360
"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['guerrilla warfare', 'central and south america', 'predator', 'trap', 'alien', 'survival', 'stalking', 'creature', 'alien invasion', 'invisible', 'commando', 'violence']",en,Predator,프레데터,18,244.079,"['Mexico', 'United States of America']",1987-06-12,"['English', 'Español']",7.528,7765
"['Crime', 'Comedy']","['robbery', 'trailer park', 'england', 'gypsy', 'gambling', 'bare knuckle boxing', 'slang', 'antwerp', 'pig', 'gangster', 'boxer', 'underground fighting', 'diamond heist', 'pikey']",en,Snatch,스내치,18,57.935,"['United Kingdom', 'United States of America']",2000-09-01,"['English', 'Pусский']",7.811,8738
['Drama'],"['paris, france', 'composer', 'pain', 'to compose', 'loss of loved one']",fr,Trois couleurs : Bleu,세 가지 색: 블루,19,23.38,"['France', 'Poland', 'Switzerland']",1993-09-08,"['Français', 'Polski']",7.7,1610
